,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
04457bd40c800eed45a4b72b3aec0df9,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__Erwinia,,0.735022703
c02e778c660c7cc7209b6387b17fb504,k__Bacteria, p__Bacteroidetes, c__[Saprospirae], o__[Saprospirales], f__Chitinophagaceae, g__Sediminibacterium, s__,0.999453346
7a4626784c2fd22947d789c652f15792,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae, g__Corynebacterium, s__,0.791321693
601cb0dbe3e86db88f1dd7e97e6c01cc,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Caulobacterales, f__Caulobacteraceae, g__Phenylobacterium, s__,0.999962791
6cccfde93f356a15309930cfb640b201,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__Buchnera, s__,0.99999549
092ab095c2aa466ffbd62815880dfa77,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae, g__Corynebacterium, s__,0.962136392
644e31b98b70267606bc60888ed1a663,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sphingomonas, s__,0.821695994
18350c718342f8c77a39e5cfad79474a,k__Bacteria,,,,,,,0.997404531
3679a796735ce5f950617a5e93b5d4ad,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__, g__, s__,0.962660315
1d5888830c106907c88732f78c78cad4,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae, g__Corynebacterium, s__,0.994615063
38af98f80d31c8ca90e106073ddfc335,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardiaceae, g__Rhodococcus,,0.985612028
e8051fe038b3b591a5c8adb51a3550be,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Methylobacteriaceae, g__Methylobacterium, s__adhaesivum,0.967186212
c1341c3a7cf01b4c30060777fa4f6a5a,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Rubellimicrobium, s__,0.99997894
ace6431817444e79d3312eb5255519d9,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae, g__, s__,0.82196862
b227494a73f8d0b8ab452811877f347d,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae, g__Leucobacter, s__,0.999811696
5d8e6065f9ebfcb34890170a6bf3512f,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiaceae, g__Agrobacterium, s__,0.973825923
a5fb9730bc73238f93e507da59aa481b,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__[Weeksellaceae], g__Chryseobacterium, s__,0.998436312
c8d859b568ca3fcd687a91cb163a8ff7,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Novosphingobium, s__,0.849825473
